run,format,AP,AP50,AP75,APS,APM,APL,AR1,AR10,AR100,ARS,ARM,ARL,avg_boxes_per_image
B1,dot-separated,0.4382207223100308,0.5532285353994771,0.4792715920147036,0.2650435190149507,0.4758794526073668,0.6269223142420667,0.3426159563761926,0.49547145229844014,0.5028474122049219,0.29411247911462024,0.5159863464420731,0.7001032952958779,7.72
B2,comma-separated,0.1670952995081923,0.2037580066050411,0.18593910945896153,0.04949476848368186,0.17414467293609923,0.2813217234666127,0.185396129073943,0.1948803247744849,0.1948803247744849,0.0541395960428188,0.19653044497086536,0.3310311213559125,2.61
B3,sentence-style,0.16752772420086798,0.20511617249477024,0.1864638943048406,0.06257227457439621,0.17856286683573802,0.25869455316575657,0.18699967743697296,0.19322261652139835,0.19322261652139835,0.06387859154515098,0.19712807005066604,0.30376950254391233,2.49
