run,box_threshold,text_threshold,AP,AP50,AP75,APS,APM,APL,AR1,AR10,AR100,ARS,ARM,ARL,avg_boxes_per_image
A1,0.25,0.2,0.4636880103901172,0.5884150220419748,0.5083186679559026,0.3061017618245099,0.5010095541561498,0.6337913725878931,0.3587591921483496,0.5453787465900497,0.5602121467156985,0.3828269413283384,0.5697426950655753,0.7291714684869834,13.85
A2,0.35,0.25,0.4382207223100308,0.5532285353994771,0.4792715920147036,0.2650435190149507,0.4758794526073668,0.6269223142420667,0.3426159563761926,0.49547145229844014,0.5028474122049219,0.29411247911462024,0.5159863464420731,0.7001032952958779,7.72
A3,0.45,0.3,0.3930607478409869,0.4827408661134815,0.43174921660741,0.20917496706253175,0.42688197992895666,0.5840534597018575,0.31690213760957336,0.42930693255842756,0.4311183856579083,0.22205091296594015,0.449127252321198,0.6321871310923687,5.08
